"Story","Title","Result","Date","Stability","Duration (s)"
"My Skills in Dashboard","Verify My Skills are updating with Valid Data","SUCCESS","2022-10-15T21:40:18.68+05:30[Asia/Calcutta]","0.0","26.57"
"Perform actions on Organization Structure of MIS website","Search an employee and get their designation","SUCCESS","2022-10-15T21:48:18.517+05:30[Asia/Calcutta]","0.0","22.57"
"Perform actions on Organization Structure of MIS website","Count total number of seniors visible by default","SUCCESS","2022-10-15T21:48:41.786+05:30[Asia/Calcutta]","0.0","18.68"
"Perform actions on Organization Structure of MIS website","Expand and compress a senior with max reportees","ERROR","2022-10-15T21:49:01.174+05:30[Asia/Calcutta]","0.0","13.69"
"Perform actions on Organization Structure of MIS website","Zoom on a card by double clicking it","SUCCESS","2022-10-15T21:49:15.519+05:30[Asia/Calcutta]","0.0","25.52"
"Perform actions on Organization Structure of MIS website","Zoom in and Zoom out the organisation structure","ERROR","2022-10-15T21:49:41.721+05:30[Asia/Calcutta]","0.0","13.94"
"Perform actions on TimeSheet of MIS website","Verify total tabs and active tab","ERROR","2022-10-15T22:06:21.912+05:30[Asia/Calcutta]","0.0","13.88"
"Perform actions on TimeSheet of MIS website","Verify Save button is present and working","SUCCESS","2022-10-15T22:07:24.719+05:30[Asia/Calcutta]","0.0","22.69"
"Perform actions on TimeSheet of MIS website","Verify timesheet status","SUCCESS","2022-10-15T22:08:02.304+05:30[Asia/Calcutta]","0.0","22.78"
"Perform actions on TimeSheet of MIS website","Open previous and next week timesheet","SUCCESS","2022-10-15T22:08:26.155+05:30[Asia/Calcutta]","0.0","28.73"
"Perform actions on TimeSheet of MIS website","Copy timesheet from a week","ERROR","2022-10-15T22:08:55.542+05:30[Asia/Calcutta]","0.0","40.12"
"Perform actions on TimeSheet of MIS website","Verify the table heads and table data","ERROR","2022-10-15T22:09:35.677+05:30[Asia/Calcutta]","0.0","13.45"
"Perform actions on TimeSheet of MIS website","Search a text using search box","ERROR","2022-10-15T22:09:49.784+05:30[Asia/Calcutta]","0.0","61.33"
"Perform actions on TimeSheet of MIS website","Add an invalid task template","ERROR","2022-10-15T22:10:51.138+05:30[Asia/Calcutta]","0.0","104.88"
"Perform actions on TimeSheet of MIS website","Delete and Add a valid task template","ERROR","2022-10-15T22:12:36.052+05:30[Asia/Calcutta]","0.0","14.2"
"Perform actions on TimeSheet of MIS website","Add a duplicate task template","ERROR","2022-10-15T22:12:50.265+05:30[Asia/Calcutta]","0.0","14.56"
"Perform actions on TimeSheet of MIS website","Edit an existing task template","ERROR","2022-10-15T22:13:04.832+05:30[Asia/Calcutta]","0.0","169.04"
"Perform actions on TimeSheet of MIS website","Verify rejecting a delete action for a task template","ERROR","2022-10-15T22:15:53.885+05:30[Asia/Calcutta]","0.0","14.9"
